Date,Close/Last,Volume,Open,High,Low
03/03/2023,712.6763,--,693.9953,716.3749,691.6236
03/02/2023,689.1454,--,680.876,690.2316,669.4899
03/01/2023,699.8605,--,703.7217,708.4845,695.8694
02/28/2023,702.8532,--,698.6973,710.4955,695.8716
02/27/2023,699.103,--,689.6351,703.6742,688.8608
02/24/2023,679.703,--,681.6392,682.902,673.8399
02/23/2023,697.1905,--,704.1193,704.6599,680.5878
02/22/2023,697.2274,--,697.3667,703.3704,687.412
02/21/2023,694.5031,--,717.0862,721.7074,694.2684
02/17/2023,726.9355,--,735.0519,735.0519,715.4374
02/16/2023,739.9358,--,751.2214,765.3287,739.6737
02/15/2023,762.8045,--,733.8963,763.022,731.9078
02/14/2023,736.7414,--,711.8813,738.3756,709.2474
02/13/2023,725.6241,--,718.4763,729.6659,710.8747
02/10/2023,718.0951,--,719.0139,723.764,707.5086
02/09/2023,726.3175,--,750.9905,757.7646,721.6935
02/08/2023,739.2717,--,753.1865,759.6317,738.2262
02/07/2023,749.9398,--,744.6492,752.5391,729.2153
02/06/2023,744.4763,--,743.3436,755.1482,739.5117
02/03/2023,749.7524,--,746.1104,768.9372,745.4614
02/02/2023,765.0693,--,765.2315,777.7334,753.3848
02/01/2023,752.2569,--,735.4166,761.2649,722.3011
01/31/2023,732.7969,--,708.2857,732.7969,708.1759
01/30/2023,706.4107,--,723.0735,728.7615,705.8369
01/27/2023,731.5675,--,697.6362,751.4606,697.6362
01/26/2023,701.5028,--,713.1539,714.0116,689.4669
01/25/2023,695.5861,--,680.6761,697.6227,672.199
01/24/2023,697.7164,--,696.4216,702.9575,690.0475
01/23/2023,704.8127,--,675.4436,707.1161,671.7547
01/20/2023,669.6419,--,657.8069,670.0932,652.5567
01/19/2023,650.7567,--,674.9062,677.7064,645.9294
01/18/2023,684.6186,--,697.4462,706.3191,680.9943
01/17/2023,687.0285,--,682.2356,691.5634,680.6408
01/13/2023,677.6892,--,663.9807,677.89,661.1075
01/12/2023,676.1533,--,668.492,676.2756,653.3811
01/11/2023,661.452,--,640.2836,661.5917,637.9934
01/10/2023,636.2003,--,622.8573,636.2301,615.7891
01/09/2023,624.6968,--,621.2515,635.9507,619.0175
01/06/2023,609.6387,--,597.3273,612.6543,587.7064
01/05/2023,596.1126,--,606.9987,609.0259,595.3294
01/04/2023,614.8089,--,606.5829,617.4488,601.6241
01/03/2023,599.7874,--,627.2745,627.2745,594.6026
12/30/2022,617.3999,--,608.0046,617.8058,605.1543
12/29/2022,616.2548,--,609.8416,621.0463,605.8426
12/28/2022,597.8183,--,602.8529,610.3087,595.0346
12/27/2022,605.7827,--,627.0333,627.3316,605.4787
12/23/2022,634.0666,--,637.6683,640.3173,625.5081
12/22/2022,639.6161,--,658.3589,658.7116,626.9707
12/21/2022,667.9494,--,660.6561,670.5373,651.3952
12/20/2022,657.8996,--,658.737,674.8386,653.8312
12/19/2022,664.2446,--,682.2334,682.8723,660.0709
12/16/2022,681.3272,--,691.531,695.8659,675.3822
12/15/2022,696.0999,--,708.2879,717.0162,694.5907
12/14/2022,720.6069,--,727.473,734.0754,714.9803
12/13/2022,725.385,--,743.6469,749.1634,716.522
12/12/2022,715.9077,--,708.8401,721.8051,705.6885
12/09/2022,714.6953,--,717.7252,725.7402,713.63
12/08/2022,722.7475,--,723.3481,731.6231,715.7862
12/07/2022,716.7988,--,712.8451,725.3203,709.1398
12/06/2022,716.0595,--,745.7896,746.7995,710.5498
12/05/2022,748.577,--,766.5455,767.7211,746.1946
12/02/2022,769.517,--,744.6437,771.9836,744.2032
12/01/2022,756.9567,--,771.1711,772.0375,747.6346
11/30/2022,770.6504,--,738.3177,770.7772,732.4611
11/29/2022,731.3554,--,741.3186,746.6208,731.3182
11/28/2022,735.8459,--,749.8497,752.1725,733.7736
11/25/2022,759.8051,--,759.2155,762.8575,753.9059
11/23/2022,764.918,--,755.9643,766.1921,755.0282
11/22/2022,754.667,--,743.1131,755.0153,737.0763
11/21/2022,741.6799,--,744.4429,748.858,738.3158
11/18/2022,756.6359,--,769.2731,769.7868,748.028
11/17/2022,759.8463,--,746.0971,763.3211,739.9107
11/16/2022,764.6835,--,772.5692,779.2251,761.7631
11/15/2022,785.1944,--,790.2434,796.9695,780.3615
11/14/2022,775.5863,--,784.857,788.732,763.4843
11/11/2022,789.0785,--,778.7568,800.771,772.6907
11/10/2022,777.5835,--,748.585,778.4702,738.9235
11/09/2022,707.9778,--,724.0523,737.6224,706.297
11/08/2022,732.6388,--,724.0613,740.9116,716.8911
11/07/2022,712.7827,--,725.594,727.7423,704.5103
11/04/2022,720.4252,--,738.0013,740.4112,703.3065
11/03/2022,715.3702,--,692.3966,727.1634,691.6925
11/02/2022,703.3322,--,731.3547,741.5817,702.9844
11/01/2022,732.4807,--,759.2222,759.3155,732.3901
10/31/2022,737.7645,--,733.673,744.6094,726.3716
10/28/2022,739.7398,--,733.1883,740.56,720.5088
10/27/2022,734.5122,--,740.7358,745.5346,726.7361
10/26/2022,738.656,--,733.4595,756.2519,729.8607
10/25/2022,727.1029,--,695.8104,730.439,695.8023
10/24/2022,691.7243,--,692.6264,694.0365,671.208
10/21/2022,697.0216,--,671.6667,698.7168,663.5893
10/20/2022,672.739,--,680.3393,691.8816,667.528
10/19/2022,685.3651,--,685.4418,691.6478,677.9452
10/18/2022,696.929,--,707.4295,710.1971,685.5773
10/17/2022,682.271,--,677.9798,692.1074,677.1434
10/14/2022,657.1091,--,702.4939,708.4201,656.2222
10/13/2022,696.6703,--,657.9873,699.4054,652.4092
10/12/2022,687.1744,--,708.4547,708.8886,684.5539
10/11/2022,706.5539,--,704.9919,719.0019,692.2686
10/10/2022,713.8249,--,719.2287,720.7585,700.9564
10/07/2022,724.9231,--,745.7975,747.1506,719.4894
10/06/2022,760.721,--,770.9728,786.8083,757.0547
10/05/2022,770.6277,--,782.1782,784.5781,750.7627
10/04/2022,795.6759,--,786.3571,801.1332,782.9058
10/03/2022,756.5744,--,748.9627,763.9098,732.8528
09/30/2022,744.1296,--,740.7782,767.4667,739.0774
09/29/2022,746.3585,--,778.4268,781.4888,736.772
09/28/2022,790.1446,--,768.0469,793.8375,763.6643
09/27/2022,772.1452,--,780.7966,788.0899,762.948
09/26/2022,758.8697,--,767.3623,789.579,758.528
09/23/2022,770.2107,--,774.3589,775.8729,755.2402
09/22/2022,790.8969,--,830.7995,833.3138,785.1751
09/21/2022,831.8911,--,839.5971,864.1401,831.5049
09/20/2022,836.3227,--,859.1361,861.4462,835.5878
09/19/2022,864.3645,--,849.7639,867.038,849.3658
09/16/2022,860.5607,--,850.9641,860.9945,842.4466
09/15/2022,867.003,--,877.7725,891.2972,862.0005
09/14/2022,887.4679,--,865.6365,887.8991,854.668
09/13/2022,866.6912,--,856.3562,880.9957,852.3991
09/12/2022,887.3568,--,875.7893,887.9214,869.031
09/09/2022,875.8396,--,872.5367,878.8336,865.3827
09/08/2022,863.0933,--,843.571,863.0933,839.9982
09/07/2022,849.3902,--,809.3032,851.7522,808.8477
09/06/2022,810.4878,--,808.3591,817.6213,793.4465
09/02/2022,803.3777,--,826.2752,826.3941,800.4222
09/01/2022,816.9214,--,819.0853,825.5866,795.0906
08/31/2022,838.0028,--,841.0158,847.9826,826.5515
08/30/2022,835.2989,--,857.6642,862.6185,822.4594
08/29/2022,847.7117,--,844.6163,865.076,844.1604
08/26/2022,858.3788,--,891.0471,897.3371,857.3149
08/25/2022,886.7519,--,876.3649,886.782,869.5966
08/24/2022,860.2713,--,840.3945,867.1595,840.1544
08/23/2022,838.1466,--,837.2649,846.2788,826.9018
08/22/2022,831.9856,--,825.4427,837.8846,823.1289
08/19/2022,848.0988,--,863.5061,866.4597,841.5841
08/18/2022,880.3988,--,866.8745,885.1959,864.7188
08/17/2022,861.5796,--,864.3203,872.1167,850.9963
08/16/2022,878.4869,--,888.4448,890.4975,871.038
08/15/2022,895.0813,--,882.278,901.7761,878.8689
08/12/2022,892.1067,--,862.6766,892.1067,855.6252
08/11/2022,860.0666,--,875.4589,882.0216,859.4126
